,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
39,,,37.3675740521,36.4195022159,34.2620602772,32.342965178,31.7123273072,30.4732302237,36.4116693568,36.4037856052,35.1447861376,33.8574049941,32.6268521658,32.2167394703,32.0990647816,31.6944750309,30.8751861433,30.6664427204,30.3547677822,30.2074322919,12.3571428571
40,,,37.5671615339,36.4767190497,34.5061940857,32.412926884,31.8923434366,30.6485243975,36.5037998419,36.4753565988,35.4405168363,34.1070383374,32.7367900989,32.2271464453,32.2435547766,31.836925456,31.0459825354,30.7959942872,30.4692760965,30.3685015273,12.6714285714
41,,,37.6738707378,36.5021832166,34.7817818924,32.5028926033,32.0334545436,30.800971193,36.5741419626,36.5081456368,35.7085429642,34.4207005597,32.8480082662,32.2916565463,32.2971683326,31.9456644094,31.2641700174,30.91727255,30.5670256346,30.4741421305,12.9857142857
42,,,37.7101024968,36.5544526307,35.062870835,32.6029857277,32.1232129366,30.9408552861,36.6914863795,36.4893522845,35.9870851083,34.6924826821,32.9936745816,32.3657903113,32.3434407224,32.1384571114,31.4569980357,31.0596852669,30.7069394366,30.5593976746,13.3
43,,,37.7432418527,36.6550415707,35.326605171,32.7159068737,32.2082134646,31.0697037714,36.8639297355,36.496392015,36.2555464133,34.9244124811,33.2308502443,32.4429284773,32.3906995645,32.3172003673,31.6174737565,31.2424999332,30.8575864036,30.6912244538,13.6142857143
44,,,37.7753478174,36.7683236256,35.5635560408,32.8367073224,32.3152901658,31.2100737052,37.0743636666,36.5297678498,36.4726066299,35.1507956458,33.4689240714,32.5333087312,32.3943674847,32.4015163338,31.8202804519,31.5097068782,30.9475710912,30.8111989653,13.9285714286
45,,,37.8041406795,36.8882623568,35.7849542757,32.9666933392,32.3976726385,31.3589064563,37.2702886416,36.5929929515,36.5816109786,35.4090158924,33.6530544005,32.6499629958,32.3962119453,32.4345954939,31.9777008573,31.8077368801,31.0723977008,30.9452250808,14.2428571429
46,,,37.8325876315,37.0131519405,36.0020251605,33.0945880609,32.4587280999,31.5118285748,37.5549466509,36.6523042755,36.6534255554,35.6530204358,33.8694574769,32.7561270855,32.4464505381,32.48787577,32.0748781065,31.9100672379,31.2042813547,31.0427565749,14.5571428571
47,,,37.8614949233,37.1458879214,36.185349644,33.2302947843,32.505642456,31.6474727618,37.807258765,36.732316445,36.6899211532,35.9024253138,34.0597035502,32.8361112212,32.5117715286,32.5103953642,32.1834923013,31.8823364653,31.3749614176,31.1647205515,14.8714285714
48,,,37.8904274488,37.2836898022,36.3520527672,33.3787989361,32.5599945314,31.7942290878,37.9023832946,36.7908175505,36.6935178494,36.1602400926,34.2848692896,32.9503749738,32.5730831803,32.5054488175,32.3729078887,32.0074215236,31.6249596103,31.2977321536,15.1857142857
49,,,37.9208055879,37.4024470305,36.5083090153,33.525722804,32.613458509,31.9446168506,37.9304548188,36.8840027937,36.6893300401,36.4563749858,34.5680577048,33.0517985184,32.6505917967,32.5137728509,32.5133588838,32.2546184851,31.9272272061,31.4829837828,15.5
